"Bevolkingsontwikkeling; regio per maand"
""
"";"";"";"Perioden"
"Regio's";"Onderwerp";"";"2020 januari*";"2020 februari*";"2020 maart*";"2020 april*";"2021 januari*";"2021 februari*";"2021 maart*";"2021 april*"
"Nederland";"Bevolking aan het begin van de periode";"aantal";"17407585";"17413818";"17422992";"17423118";"17474693";"17475908";"17481298";"17487491"
"Nederland";"Levend geboren kinderen";"aantal";"14015";"12866";"13498";"13322";"13899";"13448";"14852";"14472"
"Nederland";"Overledenen";"aantal";"14120";"12872";"16202";"18854";"17286";"13955";"13785";"13511"
"Nederland";"Vestiging in de gemeente |Totale vestiging";"aantal";"89808";"83103";"77965";"65878";"88301";"80598";"89425";"80819"
"Nederland";"Vestiging in de gemeente |Vestiging vanuit een andere gemeente";"aantal";"67727";"61783";"62225";"56541";"72638";"64545";"72986";"66079"
"Nederland";"Vestiging in de gemeente |Immigratie";"aantal";"22081";"21320";"15740";"9337";"15663";"16053";"16439";"14740"
"Nederland";"Vertrek uit de gemeente|Totaal vertrek (incl. adm. correcties)";"aantal";"83470";"73923";"75135";"65987";"83699";"74701";"84299";"75302"
"Nederland";"Vertrek uit de gemeente|Vertrek naar andere gemeente";"aantal";"67727";"61783";"62225";"56541";"72638";"64545";"72986";"66079"
"Nederland";"Vertrek uit de gemeente|Emigratie inclusief adm. correcties";"aantal";"15743";"12140";"12910";"9446";"11061";"10156";"11313";"9223"
"Nederland";"Overige correcties";"aantal";"";"";"";"";"";"";"";""
"Nederland";"Bevolkingsgroei|Bevolkingsgroei";"aantal";"6233";"9174";"126";"-5641";"1215";"5390";"6193";"6478"
"Nederland";"Bevolkingsgroei|Bevolkingsgroei, relatief";"%";"0,04";"0,05";"0,00";"-0,03";"0,01";"0,03";"0,04";"0,04"
"Nederland";"Bevolkingsgroei|Bevolkingsgroei sinds 1 januari";"aantal";"6233";"15407";"15533";"9892";"1215";"6605";"12798";"19276"
"Nederland";"Bevolkingsgroei|Bevolkingsgroei sinds 1 januari, rela...";"%";"0,04";"0,09";"0,09";"0,06";"0,01";"0,04";"0,07";"0,11"
"Nederland";"Bevolking aan het einde van de periode";"aantal";"17413818";"17422992";"17423118";"17417477";"17475908";"17481298";"17487491";"17493969"
"Bron: CBS"
