areaCode,areaName,areaType,date,newPCRTestsByPublishDate
E92000001,England,nation,2021-06-22,287604
E92000001,England,nation,2021-06-21,199594
E92000001,England,nation,2021-06-20,207254
E92000001,England,nation,2021-06-19,280982
E92000001,England,nation,2021-06-18,283215
E92000001,England,nation,2021-06-17,289399
E92000001,England,nation,2021-06-16,284800
E92000001,England,nation,2021-06-15,269253
E92000001,England,nation,2021-06-14,127128
E92000001,England,nation,2021-06-13,179220
E92000001,England,nation,2021-06-12,243118
E92000001,England,nation,2021-06-11,263772
E92000001,England,nation,2021-06-10,266534
E92000001,England,nation,2021-06-09,257189
E92000001,England,nation,2021-06-08,249500
E92000001,England,nation,2021-06-07,157994
E92000001,England,nation,2021-06-06,163733
E92000001,England,nation,2021-06-05,214656
E92000001,England,nation,2021-06-04,230097
E92000001,England,nation,2021-06-03,242923
E92000001,England,nation,2021-06-02,241925
E92000001,England,nation,2021-06-01,161299
E92000001,England,nation,2021-05-31,106953
E92000001,England,nation,2021-05-30,134809
E92000001,England,nation,2021-05-29,216514
E92000001,England,nation,2021-05-28,227054
E92000001,England,nation,2021-05-27,261437
E92000001,England,nation,2021-05-26,260113
E92000001,England,nation,2021-05-25,252641
E92000001,England,nation,2021-05-24,134913
E92000001,England,nation,2021-05-23,141849
E92000001,England,nation,2021-05-22,217701
E92000001,England,nation,2021-05-21,249510
E92000001,England,nation,2021-05-20,227532
E92000001,England,nation,2021-05-19,262431
E92000001,England,nation,2021-05-18,242254
E92000001,England,nation,2021-05-17,117361
E92000001,England,nation,2021-05-16,130079
E92000001,England,nation,2021-05-15,215215
E92000001,England,nation,2021-05-14,229119
E92000001,England,nation,2021-05-13,234090
E92000001,England,nation,2021-05-12,248982
E92000001,England,nation,2021-05-11,245013
E92000001,England,nation,2021-05-10,115752
E92000001,England,nation,2021-05-09,159089
E92000001,England,nation,2021-05-08,235911
E92000001,England,nation,2021-05-07,241796
E92000001,England,nation,2021-05-06,267394
E92000001,England,nation,2021-05-05,252818
E92000001,England,nation,2021-05-04,162491
E92000001,England,nation,2021-05-03,102171
E92000001,England,nation,2021-05-02,136617
E92000001,England,nation,2021-05-01,222804
E92000001,England,nation,2021-04-30,216073
E92000001,England,nation,2021-04-29,246949
E92000001,England,nation,2021-04-28,265823
E92000001,England,nation,2021-04-27,226477
E92000001,England,nation,2021-04-26,122230
E92000001,England,nation,2021-04-25,152635
E92000001,England,nation,2021-04-24,228804
E92000001,England,nation,2021-04-23,254396
E92000001,England,nation,2021-04-22,246064
E92000001,England,nation,2021-04-21,261960
E92000001,England,nation,2021-04-20,232309
E92000001,England,nation,2021-04-19,120299
E92000001,England,nation,2021-04-18,153473
E92000001,England,nation,2021-04-17,241684
E92000001,England,nation,2021-04-16,231551
E92000001,England,nation,2021-04-15,231898
E92000001,England,nation,2021-04-14,233499
E92000001,England,nation,2021-04-13,222983
E92000001,England,nation,2021-04-12,107387
E92000001,England,nation,2021-04-11,133952
E92000001,England,nation,2021-04-10,233955
E92000001,England,nation,2021-04-09,252047
E92000001,England,nation,2021-04-08,262301
E92000001,England,nation,2021-04-07,236576
E92000001,England,nation,2021-04-06,155673
E92000001,England,nation,2021-04-05,97141
E92000001,England,nation,2021-04-04,135003
E92000001,England,nation,2021-04-03,165177
E92000001,England,nation,2021-04-02,245327
E92000001,England,nation,2021-04-01,242675
E92000001,England,nation,2021-03-31,236652
E92000001,England,nation,2021-03-30,253598
E92000001,England,nation,2021-03-29,119633
E92000001,England,nation,2021-03-28,150480
E92000001,England,nation,2021-03-27,235773
E92000001,England,nation,2021-03-26,228936
E92000001,England,nation,2021-03-25,262519
E92000001,England,nation,2021-03-24,290770
E92000001,England,nation,2021-03-23,256097
E92000001,England,nation,2021-03-22,137568
E92000001,England,nation,2021-03-21,161319
E92000001,England,nation,2021-03-20,225035
E92000001,England,nation,2021-03-19,260712
E92000001,England,nation,2021-03-18,249608
E92000001,England,nation,2021-03-17,286118
E92000001,England,nation,2021-03-16,264985
E92000001,England,nation,2021-03-15,122728
E92000001,England,nation,2021-03-14,159296
E92000001,England,nation,2021-03-13,228730
E92000001,England,nation,2021-03-12,228988
E92000001,England,nation,2021-03-11,273262
E92000001,England,nation,2021-03-10,304883
E92000001,England,nation,2021-03-09,232275
E92000001,England,nation,2021-03-08,126914
E92000001,England,nation,2021-03-07,161189
E92000001,England,nation,2021-03-06,240978
E92000001,England,nation,2021-03-05,260704
E92000001,England,nation,2021-03-04,252356
E92000001,England,nation,2021-03-03,287736
E92000001,England,nation,2021-03-02,249113
E92000001,England,nation,2021-03-01,147929
E92000001,England,nation,2021-02-28,168881
E92000001,England,nation,2021-02-27,233585
E92000001,England,nation,2021-02-26,252247
E92000001,England,nation,2021-02-25,267679
E92000001,England,nation,2021-02-24,280041
E92000001,England,nation,2021-02-23,246712
E92000001,England,nation,2021-02-22,131756
E92000001,England,nation,2021-02-21,205975
E92000001,England,nation,2021-02-20,243242
E92000001,England,nation,2021-02-19,243837
E92000001,England,nation,2021-02-18,252946
E92000001,England,nation,2021-02-17,286315
E92000001,England,nation,2021-02-16,234787
E92000001,England,nation,2021-02-15,136815
E92000001,England,nation,2021-02-14,169095
E92000001,England,nation,2021-02-13,237579
E92000001,England,nation,2021-02-12,270091
E92000001,England,nation,2021-02-11,276282
E92000001,England,nation,2021-02-10,295286
E92000001,England,nation,2021-02-09,241082
E92000001,England,nation,2021-02-08,141418
E92000001,England,nation,2021-02-07,205466
E92000001,England,nation,2021-02-06,298080
E92000001,England,nation,2021-02-05,312279
E92000001,England,nation,2021-02-04,327205
E92000001,England,nation,2021-02-03,304348
E92000001,England,nation,2021-02-02,265684
E92000001,England,nation,2021-02-01,151579
E92000001,England,nation,2021-01-31,199887
E92000001,England,nation,2021-01-30,283856
E92000001,England,nation,2021-01-29,323811
E92000001,England,nation,2021-01-28,337550
E92000001,England,nation,2021-01-27,344917
E92000001,England,nation,2021-01-26,276082
E92000001,England,nation,2021-01-25,157363
E92000001,England,nation,2021-01-24,216974
E92000001,England,nation,2021-01-23,332982
E92000001,England,nation,2021-01-22,337244
E92000001,England,nation,2021-01-21,363335
E92000001,England,nation,2021-01-20,358526
E92000001,England,nation,2021-01-19,292244
E92000001,England,nation,2021-01-18,213103
E92000001,England,nation,2021-01-17,266911
E92000001,England,nation,2021-01-16,347864
E92000001,England,nation,2021-01-15,348889
E92000001,England,nation,2021-01-14,426408
E92000001,England,nation,2021-01-13,387683
E92000001,England,nation,2021-01-12,334390
E92000001,England,nation,2021-01-11,269312
E92000001,England,nation,2021-01-10,330802
E92000001,England,nation,2021-01-09,414974
E92000001,England,nation,2021-01-08,454153
E92000001,England,nation,2021-01-07,414781
E92000001,England,nation,2021-01-06,393437
E92000001,England,nation,2021-01-05,338776
E92000001,England,nation,2021-01-04,305400
E92000001,England,nation,2021-01-03,329722
E92000001,England,nation,2021-01-02,301039
E92000001,England,nation,2021-01-01,347130
E92000001,England,nation,2020-12-31,386988
E92000001,England,nation,2020-12-30,290256
E92000001,England,nation,2020-12-29,227474
E92000001,England,nation,2020-12-28,290777
E92000001,England,nation,2020-12-27,299256
E92000001,England,nation,2020-12-26,219876
E92000001,England,nation,2020-12-25,305380
E92000001,England,nation,2020-12-24,380298
E92000001,England,nation,2020-12-23,387803
E92000001,England,nation,2020-12-22,346925
E92000001,England,nation,2020-12-21,328110
E92000001,England,nation,2020-12-20,334355
E92000001,England,nation,2020-12-19,367617
E92000001,England,nation,2020-12-18,299550
E92000001,England,nation,2020-12-17,296428
E92000001,England,nation,2020-12-16,232913
E92000001,England,nation,2020-12-15,244507
E92000001,England,nation,2020-12-14,218554
E92000001,England,nation,2020-12-13,264545
E92000001,England,nation,2020-12-12,305091
E92000001,England,nation,2020-12-11,292679
E92000001,England,nation,2020-12-10,305989
E92000001,England,nation,2020-12-09,268243
E92000001,England,nation,2020-12-08,201277
E92000001,England,nation,2020-12-07,140704
E92000001,England,nation,2020-12-06,203367
E92000001,England,nation,2020-12-05,267723
E92000001,England,nation,2020-12-04,270311
E92000001,England,nation,2020-12-03,280268
E92000001,England,nation,2020-12-02,252224
E92000001,England,nation,2020-12-01,220441
E92000001,England,nation,2020-11-30,141861
E92000001,England,nation,2020-11-29,163409
E92000001,England,nation,2020-11-28,242941
E92000001,England,nation,2020-11-27,250364
E92000001,England,nation,2020-11-26,295720
E92000001,England,nation,2020-11-25,262805
E92000001,England,nation,2020-11-24,246296
E92000001,England,nation,2020-11-23,152736
E92000001,England,nation,2020-11-22,198806
E92000001,England,nation,2020-11-21,284305
E92000001,England,nation,2020-11-20,307564
E92000001,England,nation,2020-11-19,303446
E92000001,England,nation,2020-11-18,280773
E92000001,England,nation,2020-11-17,225048
E92000001,England,nation,2020-11-16,178343
E92000001,England,nation,2020-11-15,231843
E92000001,England,nation,2020-11-14,282981
E92000001,England,nation,2020-11-13,311884
E92000001,England,nation,2020-11-12,307762
E92000001,England,nation,2020-11-11,301274
E92000001,England,nation,2020-11-10,233170
E92000001,England,nation,2020-11-09,196960
E92000001,England,nation,2020-11-08,228847
E92000001,England,nation,2020-11-07,266808
E92000001,England,nation,2020-11-06,289527
E92000001,England,nation,2020-11-05,280927
E92000001,England,nation,2020-11-04,248797
E92000001,England,nation,2020-11-03,215867
E92000001,England,nation,2020-11-02,161725
E92000001,England,nation,2020-11-01,214055
E92000001,England,nation,2020-10-31,244456
E92000001,England,nation,2020-10-30,237540
E92000001,England,nation,2020-10-29,272510
E92000001,England,nation,2020-10-28,248562
E92000001,England,nation,2020-10-27,220636
E92000001,England,nation,2020-10-26,187193
E92000001,England,nation,2020-10-25,253965
E92000001,England,nation,2020-10-24,245413
E92000001,England,nation,2020-10-23,271853
E92000001,England,nation,2020-10-22,273922
E92000001,England,nation,2020-10-21,243053
E92000001,England,nation,2020-10-20,220135
E92000001,England,nation,2020-10-19,200444
E92000001,England,nation,2020-10-18,246928
E92000001,England,nation,2020-10-17,238723
E92000001,England,nation,2020-10-16,257720
E92000001,England,nation,2020-10-15,236839
E92000001,England,nation,2020-10-14,238634
E92000001,England,nation,2020-10-13,207385
E92000001,England,nation,2020-10-12,161479
E92000001,England,nation,2020-10-11,206549
E92000001,England,nation,2020-10-10,218460
E92000001,England,nation,2020-10-09,237549
E92000001,England,nation,2020-10-08,228857
E92000001,England,nation,2020-10-07,199768
E92000001,England,nation,2020-10-06,202460
E92000001,England,nation,2020-10-05,201138
E92000001,England,nation,2020-10-04,190151
E92000001,England,nation,2020-10-03,224249
E92000001,England,nation,2020-10-02,208056
E92000001,England,nation,2020-10-01,203108
E92000001,England,nation,2020-09-30,204366
E92000001,England,nation,2020-09-29,179536
E92000001,England,nation,2020-09-28,170166
E92000001,England,nation,2020-09-27,197325
E92000001,England,nation,2020-09-26,200267
E92000001,England,nation,2020-09-25,220780
E92000001,England,nation,2020-09-24,210375
E92000001,England,nation,2020-09-23,199600
E92000001,England,nation,2020-09-22,188723
E92000001,England,nation,2020-09-21,162093
